"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2024","172.28","167.60","177.36","159.75","","2.85%"
"07/01/2024","167.51","178.04","183.39","162.05","","-5.95%"
"06/01/2024","178.10","187.66","189.79","175.69","","-5.01%"
"05/01/2024","187.49","185.15","202.58","180.42","","1.26%"
"04/01/2024","185.15","163.49","187.92","163.23","","13.42%"
"03/01/2024","163.25","159.10","168.21","157.45","","2.60%"
"02/01/2024","159.11","160.33","160.33","152.16","","-0.76%"
"01/01/2024","160.33","162.57","163.18","153.94","","-1.35%"
"12/01/2023","162.52","157.54","164.50","153.22","","3.17%"
"11/01/2023","157.54","155.88","160.24","154.83","","1.08%"
"10/01/2023","155.86","161.64","162.92","151.21","","-3.58%"
"09/01/2023","161.64","160.78","164.37","156.08","","0.56%"
"08/01/2023","160.74","168.77","169.08","154.62","","-4.76%"
"07/01/2023","168.77","158.46","168.98","156.96","","6.50%"
"06/01/2023","158.46","156.46","167.55","155.68","","1.40%"
"05/01/2023","156.28","169.64","171.30","153.82","","-7.87%"
"04/01/2023","169.64","176.04","178.85","166.13","","-3.64%"
"03/01/2023","176.04","176.49","180.65","166.58","","-0.25%"
"02/01/2023","176.49","190.43","190.88","172.07","","-7.35%"
"01/01/2023","190.48","174.55","193.13","169.97","","9.24%"
"12/01/2022","174.36","172.39","181.89","169.98","","1.33%"
"11/01/2022","172.07","153.47","178.89","153.47","","12.12%"
"10/01/2022","153.47","154.73","164.88","152.44","","-0.86%"
"09/01/2022","154.81","163.40","168.87","147.87","","-5.28%"
"08/01/2022","163.44","167.49","174.25","160.67","","-2.42%"
"07/01/2022","167.49","167.36","167.84","146.02","","-0.03%"
"06/01/2022","167.54","195.41","200.76","165.99","","-14.27%"
"05/01/2022","195.41","206.34","206.40","185.46","","-5.33%"
"04/01/2022","206.42","220.23","224.97","205.53","","-6.31%"
"03/01/2022","220.32","202.60","296.81","202.60","","8.75%"
"02/01/2022","202.60","191.76","206.80","191.74","","5.69%"
"01/01/2022","191.70","189.01","201.01","186.46","","1.41%"
"12/01/2021","189.03","180.03","189.95","175.87","","5.08%"
"11/01/2021","179.88","183.51","187.70","176.69","","-1.96%"
"10/01/2021","183.48","173.03","202.38","171.83","","6.11%"
"09/01/2021","172.92","179.21","186.57","171.93","","-3.51%"
"08/01/2021","179.21","180.12","181.92","166.90","","-0.50%"
"07/01/2021","180.12","173.37","183.15","170.08","","3.89%"
"06/01/2021","173.37","180.78","182.29","164.65","","-4.10%"
"05/01/2021","180.78","173.96","187.01","171.28","","3.94%"
"04/01/2021","173.93","158.36","176.06","157.20","","9.81%"
"03/01/2021","158.40","162.86","166.40","155.25","","-2.56%"
"02/01/2021","162.56","145.83","171.45","144.17","","11.40%"
"01/01/2021","145.93","145.23","153.13","144.22","","0.53%"
"12/01/2020","145.16","144.42","151.22","143.40","","0.57%"
"11/01/2020","144.33","129.65","146.20","128.93","","11.33%"
"10/01/2020","129.65","126.36","134.11","120.39","","2.59%"
"09/01/2020","126.38","128.95","131.47","123.07","","-2.03%"
"08/01/2020","129.00","121.56","129.68","120.04","","6.06%"
"07/01/2020","121.63","113.39","122.92","112.59","","7.27%"
"06/01/2020","113.38","104.80","114.03","104.76","","8.25%"
"05/01/2020","104.75","101.42","106.20","99.26","","3.16%"
"04/01/2020","101.54","98.93","103.05","95.44","","2.64%"
"03/01/2020","98.93","109.91","112.68","92.43","","-10.05%"
"02/01/2020","109.98","111.49","114.67","108.05","","-1.35%"
"01/01/2020","111.49","121.08","124.08","110.50","","-7.56%"
"12/01/2019","120.61","116.61","122.09","114.99","","3.44%"
"11/01/2019","116.60","120.09","123.21","116.31","","-2.91%"
"10/01/2019","120.09","117.90","122.42","116.34","","1.84%"
"09/01/2019","117.91","116.99","122.17","115.09","","0.79%"
"08/01/2019","116.99","118.09","118.09","113.65","","-0.94%"
"07/01/2019","118.09","117.29","121.88","114.10","","0.79%"
"06/01/2019","117.17","114.57","118.48","112.68","","2.18%"
"05/01/2019","114.67","122.84","123.43","114.28","","-6.64%"
"04/01/2019","122.84","126.76","127.79","122.61","","-2.95%"
"03/01/2019","126.57","126.42","127.97","123.43","","0.12%"
"02/01/2019","126.42","121.84","126.94","118.85","","3.76%"
"01/01/2019","121.84","114.90","122.27","111.07","","6.05%"
"12/01/2018","114.90","119.70","122.07","114.12","","-4.01%"
"11/01/2018","119.70","117.61","122.86","116.74","","1.77%"
"10/01/2018","117.61","123.83","128.47","117.61","","-5.02%"
"09/01/2018","123.83","120.89","125.37","116.45","","2.43%"
"08/01/2018","120.89","125.96","127.37","116.03","","-4.03%"
"07/01/2018","125.96","132.90","133.13","120.29","","-5.23%"
"06/01/2018","132.90","139.38","146.06","132.66","","-4.65%"
"05/01/2018","139.38","136.22","140.14","134.76","","2.32%"
"04/01/2018","136.22","132.03","149.90","130.22","","3.18%"
"03/01/2018","132.03","137.76","138.31","129.75","","-4.16%"
"02/01/2018","137.76","141.30","143.23","134.33","","-2.50%"
"01/01/2018","141.30","140.79","143.17","137.16","","0.36%"
"12/01/2017","140.79","129.89","141.21","126.23","","8.39%"
"11/01/2017","129.89","134.26","137.78","129.48","","-3.25%"
"10/01/2017","134.26","127.02","137.54","126.64","","5.70%"
"09/01/2017","127.02","132.23","134.37","125.24","","-3.60%"
"08/01/2017","131.77","121.06","132.49","120.00","","8.88%"
"07/01/2017","121.02","115.47","122.18","113.18","","4.80%"
"06/01/2017","115.47","111.36","115.71","108.65","","3.78%"
"05/01/2017","111.27","112.65","114.09","108.32","","-1.23%"
"04/01/2017","112.65","116.02","117.58","109.63","","-2.90%"
"03/01/2017","116.02","117.99","119.93","111.82","","-1.67%"
"02/01/2017","117.99","115.94","120.72","113.55","","1.77%"
"01/01/2017","115.94","107.42","116.14","106.02","","7.93%"
"12/01/2016","107.42","113.35","115.90","106.39","","-5.44%"
"11/01/2016","113.60","100.78","118.71","100.13","","12.72%"
"10/01/2016","100.78","99.91","101.33","95.34","","0.87%"
"09/01/2016","99.91","94.81","100.35","93.78","","5.38%"
"08/01/2016","94.81","98.82","99.77","94.70","","-4.05%"
"07/01/2016","98.82","96.23","100.37","94.27","","2.78%"
"06/01/2016","96.15","90.60","96.27","89.43","","5.85%"
"05/01/2016","90.83","97.79","97.79","88.65","","-7.12%"
"04/01/2016","97.79","91.61","98.28","88.69","","6.75%"
"03/01/2016","91.61","90.62","96.34","89.77","","0.94%"
"02/01/2016","90.76","87.84","91.64","85.87","","3.35%"
"01/01/2016","87.82","89.54","89.75","83.00","","-1.80%"
"12/01/2015","89.42","86.67","90.31","85.72","","2.99%"
"11/01/2015","86.83","94.14","95.69","84.17","","-7.77%"
"10/01/2015","94.14","96.57","100.61","93.48","","-2.07%"
"09/01/2015","96.13","97.11","100.77","92.18","","-1.02%"
"08/01/2015","97.11","98.89","100.41","91.41","","-1.98%"
"07/01/2015","99.07","106.65","108.53","98.62","","-7.17%"
"06/01/2015","106.73","111.93","114.13","105.34","","-4.65%"
"05/01/2015","111.93","120.75","123.53","111.83","","-7.30%"
"04/01/2015","120.75","112.10","120.75","110.90","","7.71%"
"03/01/2015","112.10","111.94","116.44","107.36","","0.15%"
"02/01/2015","111.94","110.47","113.16","108.82","","1.48%"
"01/01/2015","110.30","118.31","118.49","106.59","","-6.77%"
"12/01/2014","118.31","122.95","125.34","117.41","","-3.76%"
"11/01/2014","122.93","127.46","128.77","122.81","","-3.58%"
"10/01/2014","127.49","125.69","129.34","122.06","","1.43%"
"09/01/2014","125.69","133.18","135.01","125.16","","-5.62%"